comment,groundtruth
"This phone's camera really isn't that great. The photos always come out a bit blurry and not very clear. The other day, I took a picture and it turned out really weird, nothing like the usual quality. I'm not sure if there's an issue with the phone, but it just doesn't feel quite right to use. I hope the company can resolve this problem soon so we can have a more convenient experience.",Camera color deviation
"My phone has been having some issues lately. The screen keeps flickering and it sometimes randomly restarts for no reason. I'm really puzzled about what could be wrong with it. I hope the manufacturer can resolve this problem quickly, otherwise I might have to get a new phone.",Screen flickering
"My phone has been experiencing some subtle issues lately. The connection to the in-car system always feels a bit unstable, and it sometimes disconnects automatically. It's really annoying. I'm not sure if it's a problem with the phone or the in-car system, but there's always some little glitch when I'm using it. I hope the manufacturers can resolve these issues soon.",CarPlay connection failure
"My phone has been a real headache lately. The signal has been quite unstable, and it keeps dropping out. Sometimes I can't even answer calls properly, which is really inconvenient. I'm not sure if it's an issue with the phone or the network, but there are always little problems when I use it. I hope the company can resolve this issue quickly so that we can use it more smoothly.",Weak signal
"My phone has been having some issues with the screen lately. The colors look a bit off, and it sometimes flickers. It was working fine before, so I'm not sure what the problem is. It's really uncomfortable to use, and I hope the manufacturer can address this issue quickly. Otherwise, I might have to consider getting a new phone.",Screen color deviation
"This phone has really been giving me a lot of trouble. There are always some weird problems popping up, and I just don't feel confident using it. Just the other day, it randomly froze up on me, and I couldn't even use the basic functions. It's really driving me crazy. I hope the manufacturer can address this issue quickly, or else I might have to consider getting a new phone.",Device freezing
Please hurry up and push the update to me [sad].,Update delay
"I've been using this phone for a while now, and I've been experiencing some issues. It often freezes up or encounters some weird problems that are really frustrating. I think the phone's system might have some bugs, and I hope the manufacturer can address this issue quickly. Otherwise, I might have to consider getting a new phone.",Device freezing
"This phone is becoming increasingly inconvenient to use, as if there's some kind of issue. The battery seems to drain really quickly, which is really bothering me. I'm not sure if it's due to the way I'm using it, or if there's some kind of malfunction with the device itself. Either way, this problem is quite troublesome for me. I hope the manufacturer can resolve this issue quickly, otherwise I may have to consider getting a new phone.",Fast battery drain
"Why is my phone acting like it's dead? It's not showing any activity at all, not even a single notification.",Device freezing
"My phone has been lagging a lot lately, and it feels like it's getting slower and slower. After using it for a while, it becomes increasingly sluggish, and sometimes it takes forever to open an app. I'm not sure if it's an issue with the phone itself or if the system needs an update. Anyway, the overall user experience is quite frustrating, and I hope the manufacturer can address this problem as soon as possible.",Lag and stuttering
"This phone migration is so slow, it's like a turtle crawling. I'm getting impatient waiting for it. And it's so laggy, like an ancient relic. Do I need to get a new phone? Is it because the phone is too old? Anyway, these issues are really annoying, and I hope the manufacturer can solve this problem as soon as possible.",Slow or failed data migration
"My phone has been having some issues lately. The charging speed has slowed down, and the battery drains really fast. I can barely use it for long before it runs out of juice. What's going on? Is there something wrong with my phone? This is such a hassle, and I hope the manufacturer can fix it quickly. Otherwise, I might have to get a new phone.",Fast battery drain
"My phone is really giving me a headache, as it keeps running into some mysterious issues that I don't know how to resolve. It just randomly freezes up on me, and I have no idea why. It's so frustrating! I really hope the company can fix this bug soon. But the thing is, I don't even know what the exact problem is, so I'm just trying to figure it out on my own. I wish other users could give me some advice so we can tackle this annoying problem together.",Device freezing
"Lately, my phone has been having a lot of issues. It's constantly not unlocking, which is really frustrating me. I'm not sure if it's a software problem or a hardware issue, but I have to restart it several times before it works. It's such a hassle. I really hope the manufacturer can fix this problem soon, otherwise I might consider getting a new phone. I'm hoping they can provide us users with a satisfactory solution as soon as possible.",Face ID malfunction
"My phone has been experiencing some strange issues lately, and the system seems a bit unstable. Sometimes, when I try to use certain features, I'm unable to open them properly, which is really frustrating. I'm not sure if the problem is with the phone itself or if the system needs an update. I hope the manufacturer can fix these issues as soon as possible so that we can use the phone more smoothly.",User interface errors
"This phone is just awful to use, with all sorts of weird issues popping up. The interface is terribly laggy, and it can't even handle basic operations properly. I have no idea if this company has anyone in charge, because how they can sell such poor quality is beyond me. I regret not spending a bit more to get a better phone, and now I'm just stuck dealing with it.",User interface errors
"This phone is really giving me a headache. The internet connection is always problematic, with the signal fluctuating between good and bad. To be honest, the overall user experience with this phone is not very satisfactory. I really hope the manufacturer can improve it soon, otherwise I might have to switch to a new phone.",Weak signal
"My phone keeps running out of battery, and charging it also doesn't seem to work most of the time, which is really frustrating. After using it for a while, the battery just doesn't seem to last as long anymore, and I'm not sure what the problem is. I hope the company can fix this issue quickly, otherwise I might have to get a new phone.",Charging failure
"This phone is too insecure, I always feel like my privacy is not very reassuring. I'm always worried that the phone can be easily opened by others, and if it gets stolen, it's going to be a big trouble. The design of this phone is also too simple and crude, it doesn't even do a good job with basic protection, using it really makes me worried. I hope the manufacturer can pay attention to these issues and improve them quickly, so that we ordinary users can use it with confidence.",Face ID malfunction
"This phone signal has always been very unstable, I often can't receive calls, and the internet is also very slow, which is really frustrating. Recently, when I'm using it outside, this problem occurs more frequently. Sometimes, I can't even make a phone call, which is so depressing.
I hope the manufacturer can solve this problem as soon as possible, otherwise I might have to change to a different phone.",Weak signal
"I'm so fed up with this phone. It's been giving me problems lately, which is really frustrating. The data migration keeps failing and it's super slow, it's just a waste of my time. This phone is totally unreliable, I don't know what's going on with the manufacturer. They need to fix it quickly, otherwise, I'm going to have to switch to a different phone.",Slow or failed data migration
"The new software update has caused some issues, with many users reporting a ""Storage Almost Full"" error message, even though they have plenty of free space. This is apparently a bug in the latest version, and it's preventing users from dismissing the error message.

For those affected, the only solution seems to be upgrading to the latest beta version, which reportedly fixes the problem. To do this, you'll need to install a beta profile on your device.

Overall, it's disappointing to see such a basic issue slip through in a major software release. Hopefully the developers can address this quickly and provide a proper fix for all users.",High storage usage
"This phone is so frustrating to use, it's always lagging and can't keep up, and it just freezes up on me every now and then, making it a pain to do anything. For such an expensive device, I don't know what the issue is, but it's just not a pleasant experience using it. I really hope the manufacturer can fix this problem soon, or else I might just have to get a new phone.",Lag and stuttering
"This is a very generic device, not just compared to the latest model, but even the previous generation. The so-called improvements are not noticeable at all. The frame feels cheap, it's easy to leave fingerprints that are difficult to wipe off, the phone gets hot, and the battery life is poor. Overall, I'm quite disappointed.",Easily retains fingerprints
"This phone has really let me down. Using it is like holding a hot potato - the phone gets so hot that I can barely keep a grip on it. I'm not sure if there's something wrong with my phone, but I just feel like something is off. I hope the manufacturer can resolve this issue quickly, otherwise I'll have a hard time continuing to use this phone.",Overheating
"My phone's camera quality is really terrible. The photos always have a weird color tone, and I'm not sure what the problem is. Sometimes the close-up portraits are a bit out of focus, and the overall image quality just feels a bit unclear. I've tried adjusting all kinds of camera settings, but there hasn't been much improvement. I'm not sure if it's an issue with the device itself, but it's really frustrating to use. I hope the manufacturer can fix these problems as soon as possible.",Camera color deviation
"This phone is really giving me a headache. I feel like the battery drains too quickly, and it also takes a long time to charge. I'm not sure if it's an issue with my usage habits or if there's something wrong with the device itself. Every time I charge it, I have to keep an eye on it for a while before I see the battery level start to go up. It's such a hassle. I think I'm going to get a new phone, as this one just isn't cutting it.",Fast battery drain
"Using this phone is really difficult, it's always having issues. Just a few days ago, I ran into a bunch of mysterious problems that were driving me crazy. Transferring data is also too slow, it keeps failing, and I have no idea what's going on. Where did I even buy this phone? The quality is so terrible, I really regret buying this model. Next time I'm getting a new phone, I'll need to do a lot more comparison and research, I can't get ripped off again.",Slow or failed data migration
