comment,groundtruth,id,summary,reason,predict_label
"I was almost done with the update, the progress bar had finished, and then suddenly the device just started spinning and displaying a blank screen. I'm not sure what happened, but I'm really disappointed that the update failed. [Sad emoji, Sad emoji, Sad emoji]",update failure,s_0,Device displayed a blank screen after update completion.,"The comment describes an update process that failed and resulted in a blank screen, indicating an issue with the update process.",update failure
"Scratches, peeling paint, dust in the lens... The product quality seems to have gone downhill. #smartphone",poor manufacturing quality,s_1,"Scratches, peeling paint, dust in the lens. Product quality seems to have gone downhill.","The comment mentions scratches, peeling paint, and dust in the lens, indicating poor manufacturing quality.",poor manufacturing quality
"My phone has been having issues lately, frequently freezing up and becoming completely unresponsive. It's really been affecting the user experience. Sometimes it even restarts on its own before I have a chance to do anything, which is just baffling. I'm not sure if it's a system problem, and I don't know how to fix it. It's feeling more and more difficult to use. I hope the manufacturer can address this problem quickly, otherwise I may have to consider getting a new phone.",device freezing,s_2,"Phone frequently freezes, becomes unresponsive, and restarts on its own.","The comment describes the phone freezing, becoming unresponsive, and automatically restarting, which matches the 'Device freezing' and 'Automatic restart, shutdown' categories.","device freezing, automatic restart, shutdown"
"After the update, WeChat often crashes and some apps won't even open. It's really frustrating.",app crashes,s_3,"After the update, WeChat often crashes and some apps won't even open.",The comment mentions app crashes and inability to open apps after an update.,app crashes
"The connectivity issues with this phone are really giving me a headache. It's just not stable at all. Every time I get in the car, I have to worry about whether my phone will connect, it's such a hassle. Other brands don't seem to have this problem, and I'm really not satisfied with it. I hope they can fix this issue as soon as possible, otherwise I might consider switching to a different brand of phone.",carplay connection failure,s_4,"The phone has unstable connectivity, especially with in-car systems, causing frustration and potential brand switching.","The comment specifically mentions connectivity issues with the in-car system, which aligns with 'CarPlay connection failure'.",carplay connection failure
"My phone has been having issues lately, the charging is unstable and it keeps cutting out. I've almost missed important things a few times now. I'm really frustrated and don't know what to do, I feel like there's something wrong with my phone. I'm not sure if it's because I used a different charger before, I hope the after-sales service can help me figure it out and solve the problem quickly. I'm so dependent on my phone, if there's any major issue, that would be such a hassle.","third-party charger, data cable incompatibility",s_5,"Phone has unstable charging and keeps cutting out, causing frustration.","The comment describes unstable charging and interruptions, which aligns with the 'Charging failure' category.",charging failure
"When using the in-car infotainment system to play music, the connection to the system keeps failing. This issue occurs regardless of whether I'm using the default music app or a third-party one. The system crashes and disconnects while I'm trying to play music through the in-car display. This is a frustrating problem that needs to be addressed.",carplay connection failure,s_6,"Connection to in-car infotainment system fails, causing crashes and disconnects.","The comment describes issues with the phone connecting to the in-car system, which is a known issue with CarPlay.",carplay connection failure
"I've noticed my phone's battery seems to be draining a bit faster since updating to the latest software version. A few issues I've encountered:

1. Previously, my battery would last around 30% in the morning with regular usage, but now it's down to 36% in the same timeframe.
2. There have been instances where the screen becomes unresponsive, and I have to return to the home screen and reopen the app to resolve it.
3. I've already turned off the 5G connectivity, but the phone still seems to be automatically switching to 5G networks.

Let me know if anyone else has experienced similar problems and if you have any effective solutions to share. I'd appreciate any insights or advice.",fast battery drain,s_7,"Phone's battery drains faster, screen unresponsive, and auto switches to 5G.","The comment mentions faster battery drain, unresponsive screen, and automatic network switching, which align with 'Fast battery drain', 'Unresponsive screen', and 'Weak signal'.","fast battery drain, unresponsive screen, weak signal"
Why can't my device be updated to the latest software version yet?! [angry_emoji][angry_emoji][angry_emoji] #software_update,update delay,s_8,User is frustrated about the delay in receiving the latest software update.,The comment expresses frustration over the delay in updating the device to the latest software version.,update delay
"The update speed of this phone is really slow, it's always a few versions behind others, it feels like I've been neglected. I can't wait to use the latest features, I hope the company can pay attention to this issue and push updates faster. Overall, this phone is still not bad, it's just the updates are a bit slow.",slow update,s_9,"Phone update speed is slow, feels neglected, hopes for faster updates.","The comment mentions the slow update speed of the phone, which aligns with the 'Slow update' category.",slow update
